Allele_A	Allele_B	FunctionalGroup	HV_distance	Cross_tier	AAAA_A	AAAA_B	Testable	Hypothesis
Allele_005	Allele_029	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_032	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_033	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_034	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_035	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_036	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_038	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_039	FG01	0.0	Incompatible	0	16	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_040	FG01	0.0	Incompatible	0	10	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_044	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_045	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_046	FG01	0.0	Incompatible	0	85	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_047	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_051	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_007	FG01	0.0	Incompatible	2	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_008	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_009	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_010	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_013	FG01	0.0	Incompatible	2	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_014	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_015	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_016	FG01	0.0	Incompatible	2	7	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_017	FG01	0.0	Incompatible	2	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_018	FG01	0.0	Incompatible	2	15	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_019	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_020	FG01	0.0	Incompatible	2	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_022	FG01	0.0	Incompatible	2	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_023	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_024	FG01	0.0	Incompatible	2	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_026	FG01	0.0	Incompatible	2	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_027	FG01	0.0	Incompatible	2	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_028	FG01	0.0	Incompatible	2	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_029	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_032	FG01	0.0	Incompatible	2	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_033	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_034	FG01	0.0	Incompatible	2	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_035	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_036	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_038	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_039	FG01	0.0	Incompatible	2	16	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_040	FG01	0.0	Incompatible	2	10	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_044	FG01	0.0	Incompatible	2	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_045	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_046	FG01	0.0	Incompatible	2	85	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_047	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_006	Allele_051	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_008	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_009	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_010	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_013	FG01	0.0	Incompatible	5	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_014	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_015	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_016	FG01	0.0	Incompatible	5	7	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_017	FG01	0.0	Incompatible	5	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_018	FG01	0.0	Incompatible	5	15	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_019	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_020	FG01	0.0	Incompatible	5	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_022	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_023	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_024	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_026	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_027	FG01	0.0	Incompatible	5	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_028	FG01	0.0	Incompatible	5	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_029	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_032	FG01	0.0	Incompatible	5	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_033	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_034	FG01	0.0	Incompatible	5	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_035	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_036	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_038	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_039	FG01	0.0	Incompatible	5	16	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_040	FG01	0.0	Incompatible	5	10	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_044	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_045	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_046	FG01	0.0	Incompatible	5	85	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_047	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_007	Allele_051	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_009	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_010	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_013	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_014	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_015	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_016	FG01	0.0	Incompatible	0	7	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_017	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_018	FG01	0.0	Incompatible	0	15	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_019	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_020	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_022	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_023	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_024	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_026	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_027	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_028	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_029	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_032	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_033	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_034	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_035	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_036	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_038	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_039	FG01	0.0	Incompatible	0	16	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_040	FG01	0.0	Incompatible	0	10	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_044	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_045	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_046	FG01	0.0	Incompatible	0	85	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_047	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_008	Allele_051	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_010	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_013	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_014	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_015	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_016	FG01	0.0	Incompatible	0	7	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_017	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_018	FG01	0.0	Incompatible	0	15	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_019	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_020	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_022	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_023	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_024	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_026	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_027	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_028	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_029	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_032	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_033	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_034	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_035	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_036	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_038	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_039	FG01	0.0	Incompatible	0	16	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_040	FG01	0.0	Incompatible	0	10	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_044	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_045	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_046	FG01	0.0	Incompatible	0	85	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_047	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_009	Allele_051	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_013	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_014	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_015	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_016	FG01	0.0	Incompatible	0	7	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_017	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_018	FG01	0.0	Incompatible	0	15	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_019	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_020	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_022	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_023	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_024	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_026	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_027	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_028	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_029	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_032	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_033	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_034	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_035	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_036	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_038	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_039	FG01	0.0	Incompatible	0	16	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_040	FG01	0.0	Incompatible	0	10	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_044	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_045	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_046	FG01	0.0	Incompatible	0	85	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_047	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_010	Allele_051	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_011	Allele_012	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_011	Allele_021	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_011	Allele_042	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_011	Allele_055	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_012	Allele_021	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_012	Allele_042	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_012	Allele_055	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_014	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_015	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_016	FG01	0.0	Incompatible	5	7	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_017	FG01	0.0	Incompatible	5	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_018	FG01	0.0	Incompatible	5	15	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_019	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_020	FG01	0.0	Incompatible	5	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_022	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_023	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_024	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_026	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_027	FG01	0.0	Incompatible	5	3	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_028	FG01	0.0	Incompatible	5	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_029	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_032	FG01	0.0	Incompatible	5	5	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_033	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_034	FG01	0.0	Incompatible	5	4	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_035	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_036	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_038	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_039	FG01	0.0	Incompatible	5	16	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_040	FG01	0.0	Incompatible	5	10	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_044	FG01	0.0	Incompatible	5	2	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_045	FG01	0.0	Incompatible	5	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_046	FG01	0.0	Incompatible	5	85	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_047	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_013	Allele_051	FG01	0.0	Incompatible	5	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_015	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_016	FG01	0.0	Incompatible	0	7	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_017	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_018	FG01	0.0	Incompatible	0	15	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_019	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_020	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_022	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_023	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_024	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_026	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_027	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_028	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_029	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_032	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_033	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_034	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_035	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_036	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_038	FG01	0.0	Incompatible	0	1	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_014	Allele_039	FG01	0.0	Incompatible	0	16	no	HV-identical — strong synonymy prediction (Incompatible cross)
