Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	frac_nonfunctional	copies_functional	copies_nonfunctional	SI_status	pSI_confidence
Library010_barcode07	EO18	BL5	11	0	5	11	0.0	4	0	SI	
Library010_barcode08	EO18	BL5	12	0	4	12	0.0	4	0	SI	
Library010_barcode09	EO18	BL5	8	0	8	8	0.0	4	0	SI	
Library010_barcode10	EO18	BL5	8	0	8	8	0.0	4	0	SI	
Library010_barcode11	EO18	BL5	12	0	4	12	0.0	4	0	SI	
Library010_barcode12	EO18	BL5	0	0	0	0				Insufficient_data	
Library010_barcode13	EO18	BL5	26	0	22	26	0.0	4	0	SI	
Library010_barcode14	EO18	BL5	16	0	8	16	0.0	4	0	SI	
Library010_barcode15	EO18	BL5	20	0	12	20	0.0	4	0	SI	
Library010_barcode16	EO18	BL5	17	0	11	17	0.0	4	0	SI	
Library010_barcode17	EO18	BL5	8	12	12	20	0.6	2	2	pSI	high
Library010_barcode18	EO18	BL5	14	0	22	14	0.0	4	0	SI	
Library010_barcode19	EO18	BL5	12	0	0	12	0.0	4	0	SI	
Library010_barcode20	EO18	BL5	14	0	10	14	0.0	4	0	SI	
Library010_barcode21	EO18	BL5	26	0	6	26	0.0	4	0	SI	
Library010_barcode22	EO18	BL5	4	0	8	4	0.0	4	0	SI	
Library010_barcode23	EO18	BL5	22	0	6	22	0.0	4	0	SI	
Library010_barcode24	EO18	BL5	7	0	9	7	0.0	4	0	SI	
Library010_barcode25	EO18	BL5	8	0	16	8	0.0	4	0	SI	
Library010_barcode26	EO18	BL5	8	0	20	8	0.0	4	0	SI	
Library010_barcode27	EO18	BL5	16	0	12	16	0.0	4	0	SI	
Library010_barcode28	EO18	BL5	39	0	25	39	0.0	4	0	SI	
Library010_barcode29	EO18	BL5	21	1	10	22	0.0455	4	0	SI	
Library010_barcode30	EO18	BL5	4	0	4	4	0.0	4	0	SI	
Library010_barcode31	EO18	BL5	0	0	0	0				Insufficient_data	
Library010_barcode32	EO18	BL5	15	0	9	15	0.0	4	0	SI	
Library010_barcode37	EO18	BL5	17	0	19	17	0.0	4	0	SI	
Library010_barcode38	EO18	BL5	15	0	9	15	0.0	4	0	SI	
Library010_barcode39	EO18	BL5	12	0	4	12	0.0	4	0	SI	
Library010_barcode40	EO18	BL5	2	0	26	2	0.0			Insufficient_data	
Library011_barcode04	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode05	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode06	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode08	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode73	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode74	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode87	EO18	BL5	0	0	0	0				Insufficient_data	
Library011_barcode88	EO18	BL5	0	0	0	0				Insufficient_data	
Library002_barcode41	EO24	BL5	22	0	10	22	0.0	4	0	SI	
Library002_barcode50	EO24	BL5	14	0	14	14	0.0	4	0	SI	
Library001_barcode10	EO25	BL5	17	0	7	17	0.0	4	0	SI	
Library002_barcode31	EO25	BL5	15	0	13	15	0.0	4	0	SI	
Library003_barcode61	EO25	BL5	29	0	7	29	0.0	4	0	SI	
Library003_barcode62	EO25	BL5	17	0	11	17	0.0	4	0	SI	
Library003_barcode65	EO25	BL5	11	0	5	11	0.0	4	0	SI	
Library003_barcode67	EO25	BL5	20	0	0	20	0.0	4	0	SI	
Library003_barcode69	EO25	BL5	21	0	15	21	0.0	4	0	SI	
Library003_barcode70	EO25	BL5	6	0	2	6	0.0	4	0	SI	
Library003_barcode71	EO25	BL5	29	0	15	29	0.0	4	0	SI	
Library003_barcode72	EO25	BL5	12	0	0	12	0.0	4	0	SI	
Library003_barcode73	EO25	BL5	7	0	5	7	0.0	4	0	SI	
Library003_barcode74	EO25	BL5	13	0	3	13	0.0	4	0	SI	
Library004_barcode79	EO25	BL5	11	0	1	11	0.0	4	0	SI	
Library004_barcode81	EO25	BL5	13	0	7	13	0.0	4	0	SI	
Library004_barcode82	EO25	BL5	24	0	4	24	0.0	4	0	SI	
Library004_barcode83	EO25	BL5	15	0	1	15	0.0	4	0	SI	
Library005_barcode22	EO25	BL5	18	0	6	18	0.0	4	0	SI	
Library005_barcode23	EO25	BL5	17	4	7	21	0.1905	3	1	pSI	low
Library005_barcode24	EO25	BL5	30	0	10	30	0.0	4	0	SI	
Library005_barcode25	EO25	BL5	17	0	11	17	0.0	4	0	SI	
Library005_barcode26	EO25	BL5	7	0	9	7	0.0	4	0	SI	
Library005_barcode27	EO25	BL5	7	0	1	7	0.0	4	0	SI	
Library005_barcode28	EO25	BL5	8	0	12	8	0.0	4	0	SI	
Library005_barcode29	EO25	BL5	20	0	8	20	0.0	4	0	SI	
Library005_barcode30	EO25	BL5	18	0	6	18	0.0	4	0	SI	
Library005_barcode31	EO25	BL5	20	1	3	21	0.0476	4	0	SI	
Library005_barcode32	EO25	BL5	20	0	0	20	0.0	4	0	SI	
Library005_barcode33	EO25	BL5	20	0	12	20	0.0	4	0	SI	
Library005_barcode34	EO25	BL5	8	0	0	8	0.0	4	0	SI	
Library005_barcode35	EO25	BL5	11	4	13	15	0.2667	3	1	pSI	high
Library005_barcode36	EO25	BL5	13	0	23	13	0.0	4	0	SI	
Library006_barcode42	EO25	BL5	8	0	0	8	0.0	4	0	SI	
Library009_barcode25	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode33	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode34	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode35	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode36	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode37	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode38	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode39	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode40	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode41	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode42	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode43	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode44	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode45	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode46	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode47	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode48	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode60	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode61	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode62	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode63	EO25	BL5	0	0	0	0				Insufficient_data	
Library009_barcode64	EO25	BL5	0	0	0	0				Insufficient_data	
Library002_barcode32	EO48	BL5	18	0	6	18	0.0	4	0	SI	
Library009_barcode89		Unassigned	0	0	0	0				Insufficient_data	
Library010_barcode89		Unassigned	0	0	0	0				Insufficient_data	
Library001_barcode01	EO27rt	Unassigned	16	0	12	16	0.0	4	0	SI	
Library002_barcode29	EO405	Unassigned	15	0	9	15	0.0	4	0	SI	
Library001_barcode04	EO702	Unassigned	14	0	2	14	0.0	4	0	SI	
Library002_barcode52	EO702	Unassigned	8	0	0	8	0.0	4	0	SI	
Library002_barcode36	EO704	Unassigned	7	0	9	7	0.0	4	0	SI	
Library001_barcode11	EO709	Unassigned	14	0	14	14	0.0	4	0	SI	
Library001_barcode05	EO712	Unassigned	23	0	1	23	0.0	4	0	SI	
Library002_barcode53	EO715	Unassigned	27	0	9	27	0.0	4	0	SI	
Library002_barcode34	EO84	Unassigned	15	0	13	15	0.0	4	0	SI	
Library001_barcode03	EO96	Unassigned	5	0	3	5	0.0	4	0	SI	
Library002_barcode23	EO96	Unassigned	22	0	10	22	0.0	4	0	SI	
Library002_barcode33	EO97	Unassigned	0	3	1	3	1.0			Insufficient_data	
Library002_barcode30	EO98	Unassigned	0	0	0	0				Insufficient_data	
