Individual	Total_sequences	Functional_proteins	Functional_rate	Proteins_in_final_data	In_final_genotype_data	Classification	Top_failure_reasons
Library002_barcode48	36	16	0.444	4	Yes	low_functional_rate	premature_stop(16);ambiguous_aa(8)
Library002_barcode49	16	0	0.000	0	No	no_functional_proteins	premature_stop(14);ambiguous_aa(8)
Library002_barcode50	28	11	0.393	11	Yes	low_functional_rate	premature_stop(14);ambiguous_aa(12)
Library002_barcode51	48	28	0.583	4	Yes	normal	premature_stop(16);ambiguous_aa(8)
Library002_barcode52	8	8	1.000	4	Yes	normal	
Library002_barcode53	36	24	0.667	12	Yes	normal	premature_stop(9);ambiguous_aa(8)
Library002_barcode54	32	12	0.375	8	Yes	low_functional_rate	premature_stop(13);ambiguous_aa(8)
Library002_barcode55	36	16	0.444	0	No	dropped_abundance_filter	premature_stop(16);ambiguous_aa(8)
Library002_barcode56	28	12	0.429	8	Yes	low_functional_rate	premature_stop(8);ambiguous_aa(8)
Library002_barcode57	28	10	0.357	6	Yes	low_functional_rate	ambiguous_aa(16);premature_stop(11)
Library002_barcode58	12	4	0.333	4	Yes	low_functional_rate	premature_stop(8);ambiguous_aa(4)
Library005_barcode01	20	11	0.550	11	Yes	normal	premature_stop(5);ambiguous_aa(4)
Library005_barcode02	24	16	0.667	12	Yes	normal	premature_stop(4);ambiguous_aa(4)
Library005_barcode03	24	12	0.500	10	Yes	normal	premature_stop(8);ambiguous_aa(4)
Library005_barcode04	28	19	0.679	14	Yes	normal	premature_stop(9)
Library005_barcode05	28	8	0.286	7	Yes	low_functional_rate	premature_stop(13);ambiguous_aa(12)
Library005_barcode06	28	0	0.000	0	No	no_functional_proteins	premature_stop(28);ambiguous_aa(12)
Library005_barcode07	32	26	0.812	10	Yes	normal	ambiguous_aa(4);premature_stop(2)
Library005_barcode08	40	20	0.500	20	Yes	normal	premature_stop(17);ambiguous_aa(4)
Library005_barcode09	32	11	0.344	10	Yes	low_functional_rate	ambiguous_aa(16);premature_stop(5)
Library005_barcode10	36	28	0.778	12	Yes	normal	premature_stop(5);ambiguous_aa(4)
Library005_barcode11	8	8	1.000	8	Yes	normal	
Library005_barcode12	28	12	0.429	10	Yes	low_functional_rate	premature_stop(16)
Library005_barcode13	4	2	0.500	2	Yes	normal	premature_stop(2)
Library005_barcode14	48	12	0.250	8	Yes	low_functional_rate	premature_stop(25);ambiguous_aa(16)
Library005_barcode15	12	12	1.000	12	Yes	normal	
Library005_barcode16	8	7	0.875	7	Yes	normal	premature_stop(1)
Library005_barcode17	60	15	0.250	12	Yes	low_functional_rate	ambiguous_aa(32);premature_stop(31)
Library005_barcode18	12	12	1.000	8	Yes	normal	
Library005_barcode19	8	8	1.000	8	Yes	normal	
Library005_barcode20	48	26	0.542	13	Yes	normal	ambiguous_aa(16);premature_stop(11)
Library005_barcode21	24	19	0.792	15	Yes	normal	premature_stop(5)
Library005_barcode22	24	14	0.583	5	Yes	normal	premature_stop(6);ambiguous_aa(4)
Library005_barcode23	28	13	0.464	9	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(11)
Library005_barcode24	40	18	0.450	11	Yes	low_functional_rate	ambiguous_aa(16);premature_stop(10)
Library005_barcode25	28	6	0.214	3	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(11)
Library005_barcode26	16	3	0.188	3	Yes	low_functional_rate	premature_stop(9);ambiguous_aa(4)
Library005_barcode27	8	7	0.875	7	Yes	normal	premature_stop(1)
Library005_barcode28	20	4	0.200	4	Yes	low_functional_rate	premature_stop(12);ambiguous_aa(4)
Library005_barcode29	28	12	0.429	9	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(8)
Library005_barcode30	24	15	0.625	12	Yes	normal	ambiguous_aa(8);premature_stop(6)
Library005_barcode31	24	17	0.708	12	Yes	normal	premature_stop(4);ambiguous_aa(4)
Library005_barcode32	20	16	0.800	8	Yes	normal	ambiguous_aa(4)
Library005_barcode33	32	16	0.500	7	Yes	normal	premature_stop(12);ambiguous_aa(8)
Library005_barcode34	8	8	1.000	8	Yes	normal	
Library005_barcode35	28	11	0.393	7	Yes	low_functional_rate	premature_stop(17)
Library005_barcode36	36	13	0.361	8	Yes	low_functional_rate	premature_stop(23);ambiguous_aa(4)
Library003_barcode60	20	6	0.300	2	Yes	low_functional_rate	premature_stop(12);ambiguous_aa(4)
Library003_barcode61	36	25	0.694	20	Yes	normal	premature_stop(7);ambiguous_aa(4)
Library003_barcode62	28	13	0.464	9	Yes	low_functional_rate	premature_stop(11);ambiguous_aa(4)
Library003_barcode63	28	6	0.214	1	Yes	low_functional_rate	premature_stop(14);ambiguous_aa(8)
Library003_barcode64	36	15	0.417	11	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(11)
Library003_barcode65	16	11	0.688	11	Yes	normal	premature_stop(5)
Library003_barcode66	20	10	0.500	2	Yes	normal	premature_stop(10)
Library003_barcode67	20	16	0.800	12	Yes	normal	ambiguous_aa(4)
Library003_barcode68	28	7	0.250	0	No	dropped_abundance_filter	premature_stop(17);ambiguous_aa(4)
Library003_barcode69	36	11	0.306	8	Yes	low_functional_rate	premature_stop(15);ambiguous_aa(12)
Library003_barcode70	8	3	0.375	1	Yes	low_functional_rate	ambiguous_aa(4);premature_stop(2)
Library003_barcode71	44	17	0.386	10	Yes	low_functional_rate	ambiguous_aa(16);premature_stop(15)
Library003_barcode72	12	12	1.000	12	Yes	normal	
Library003_barcode73	12	7	0.583	6	Yes	normal	premature_stop(5)
Library003_barcode74	16	13	0.812	12	Yes	normal	premature_stop(3)
Library003_barcode75	24	0	0.000	0	No	no_functional_proteins	premature_stop(18);ambiguous_aa(12)
Library003_barcode76	28	11	0.393	8	Yes	low_functional_rate	premature_stop(15);ambiguous_aa(4)
Library003_barcode77	36	11	0.306	8	Yes	low_functional_rate	premature_stop(25);ambiguous_aa(16)
Library003_barcode78	16	5	0.312	4	Yes	low_functional_rate	premature_stop(11)
Library006_barcode37	36	7	0.194	3	Yes	low_functional_rate	premature_stop(22);ambiguous_aa(12)
Library006_barcode38	44	30	0.682	16	Yes	normal	ambiguous_aa(8);premature_stop(6)
Library006_barcode39	64	26	0.406	0	No	dropped_abundance_filter	ambiguous_aa(28);premature_stop(18)
Library006_barcode40	32	21	0.656	17	Yes	normal	premature_stop(7);ambiguous_aa(4)
Library006_barcode41	28	12	0.429	8	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(8)
Library006_barcode42	8	8	1.000	8	Yes	normal	
Library006_barcode43	12	8	0.667	4	Yes	normal	premature_stop(4)
Library006_barcode44	40	15	0.375	8	Yes	low_functional_rate	premature_stop(25);ambiguous_aa(4)
Library006_barcode45	4	2	0.500	0	No	dropped_abundance_filter	premature_stop(2)
Library006_barcode46	16	8	0.500	8	Yes	normal	premature_stop(8)
Library006_barcode47	12	8	0.667	8	Yes	normal	premature_stop(4)
Library006_barcode48	24	8	0.333	8	Yes	low_functional_rate	premature_stop(13);ambiguous_aa(4)
Library006_barcode49	28	11	0.393	0	No	dropped_abundance_filter	premature_stop(13);ambiguous_aa(4)
Library006_barcode50	8	4	0.500	4	Yes	normal	premature_stop(4)
Library006_barcode51	16	4	0.250	4	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(4)
Library006_barcode52	32	12	0.375	0	No	dropped_abundance_filter	premature_stop(16);ambiguous_aa(8)
Library006_barcode53	12	7	0.583	7	Yes	normal	premature_stop(5)
Library006_barcode54	36	24	0.667	16	Yes	normal	ambiguous_aa(8);premature_stop(4)
Library006_barcode55	20	8	0.400	8	Yes	low_functional_rate	premature_stop(8);ambiguous_aa(4)
Library006_barcode56	24	11	0.458	11	Yes	low_functional_rate	premature_stop(13);ambiguous_aa(4)
Library006_barcode57	12	12	1.000	8	Yes	normal	
Library006_barcode58	24	4	0.167	4	Yes	low_functional_rate	premature_stop(20)
Library006_barcode59	24	17	0.708	13	Yes	normal	premature_stop(7)
Library006_barcode60	16	12	0.750	12	Yes	normal	ambiguous_aa(4);premature_stop(1)
Library006_barcode61	12	6	0.500	2	Yes	normal	premature_stop(6)
Library006_barcode62	40	20	0.500	12	Yes	normal	ambiguous_aa(12);premature_stop(8)
Library006_barcode63	20	12	0.600	8	Yes	normal	ambiguous_aa(8);premature_stop(5)
Library006_barcode64	24	11	0.458	8	Yes	low_functional_rate	ambiguous_aa(8);premature_stop(6)
Library006_barcode65	24	8	0.333	8	Yes	low_functional_rate	premature_stop(16);ambiguous_aa(8)
Library006_barcode66	24	10	0.417	3	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(6)
Library001_barcode01	28	16	0.571	5	Yes	normal	premature_stop(12)
Library001_barcode02	32	23	0.719	8	Yes	normal	premature_stop(9)
Library001_barcode03	8	4	0.500	0	No	dropped_abundance_filter	ambiguous_aa(4);premature_stop(3)
Library001_barcode04	16	14	0.875	3	Yes	normal	premature_stop(2)
Library001_barcode05	24	15	0.625	12	Yes	normal	ambiguous_aa(8);premature_stop(1)
Library001_barcode06	12	12	1.000	8	Yes	normal	
Library001_barcode07	32	11	0.344	4	Yes	low_functional_rate	premature_stop(18);ambiguous_aa(8)
Library001_barcode08	20	15	0.750	4	Yes	normal	ambiguous_aa(4);premature_stop(1)
Library001_barcode09	28	13	0.464	13	Yes	low_functional_rate	premature_stop(15);ambiguous_aa(4)
Library001_barcode10	24	13	0.542	4	Yes	normal	premature_stop(7);ambiguous_aa(4)
Library001_barcode11	28	14	0.500	10	Yes	normal	premature_stop(14)
Library001_barcode12	28	8	0.286	0	No	dropped_abundance_filter	premature_stop(19);ambiguous_aa(4)
Library001_barcode13	16	5	0.312	0	No	dropped_abundance_filter	premature_stop(11);ambiguous_aa(4)
Library001_barcode14	32	12	0.375	4	Yes	low_functional_rate	premature_stop(20);ambiguous_aa(8)
Library001_barcode15	32	12	0.375	0	No	dropped_abundance_filter	premature_stop(18);ambiguous_aa(4)
Library001_barcode16	20	7	0.350	0	No	dropped_abundance_filter	premature_stop(13)
Library001_barcode17	44	12	0.273	8	Yes	low_functional_rate	premature_stop(28);ambiguous_aa(20)
Library001_barcode18	48	18	0.375	14	Yes	low_functional_rate	premature_stop(30);ambiguous_aa(4)
Library001_barcode19	12	8	0.667	8	Yes	normal	premature_stop(4)
Library001_barcode20	8	6	0.750	2	Yes	normal	premature_stop(2)
Library001_barcode21	32	8	0.250	1	Yes	low_functional_rate	premature_stop(16);ambiguous_aa(16)
Library001_barcode22	28	2	0.071	0	No	dropped_abundance_filter	premature_stop(26);ambiguous_aa(4)
