Original_sequence_ID	Protein	Count
Library001_barcode09_hap1_rep3_tig00000002	SRK_protein_018	44
Library001_barcode09_hap2_rep3_tig00000002	SRK_protein_018	44
Library001_barcode09_hap3_rep3_tig00000002	SRK_protein_018	44
Library001_barcode09_hap4_rep3_tig00000002	SRK_protein_018	44
Library001_barcode09_hap1_rep1_tig00000002	SRK_protein_018	44
Library001_barcode09_hap1_rep2_tig00000002	SRK_protein_018	44
Library001_barcode09_hap1_rep3_tig00000001	SRK_protein_019	9
Library001_barcode09_hap2_rep1_tig00000002	SRK_protein_018	44
Library001_barcode09_hap2_rep2_tig00000002	SRK_protein_018	44
Library001_barcode09_hap3_rep1_tig00000002	SRK_protein_018	44
Library001_barcode09_hap3_rep2_tig00000002	SRK_protein_018	44
Library001_barcode09_hap4_rep1_tig00000002	SRK_protein_018	44
Library001_barcode09_hap4_rep2_tig00000002	SRK_protein_018	44
Library001_barcode10_hap1_rep2_tig00000001	SRK_protein_020	100
Library001_barcode10_hap2_rep2_tig00000001	SRK_protein_020	100
Library001_barcode10_hap3_rep2_tig00000001	SRK_protein_020	100
Library001_barcode10_hap4_rep2_tig00000001	SRK_protein_020	100
Library001_barcode10_hap1_rep3_tig00000001	SRK_protein_021	12
Library001_barcode10_hap1_rep4_tig00000001	SRK_protein_022	8
Library001_barcode10_hap2_rep4_tig00000001	SRK_protein_022	8
Library001_barcode10_hap3_rep4_tig00000001	SRK_protein_022	8
Library001_barcode10_hap4_rep4_tig00000001	SRK_protein_022	8
Library001_barcode11_hap1_rep1_tig00000002	SRK_protein_023	16
Library001_barcode11_hap2_rep1_tig00000002	SRK_protein_023	16
Library001_barcode11_hap2_rep3_tig00000001	SRK_protein_024	12
Library001_barcode11_hap3_rep1_tig00000002	SRK_protein_023	16
Library001_barcode11_hap4_rep1_tig00000002	SRK_protein_023	16
Library001_barcode11_hap4_rep3_tig00000001	SRK_protein_024	12
Library001_barcode11_hap1_rep2_tig00000002	SRK_protein_023	16
Library001_barcode11_hap2_rep2_tig00000002	SRK_protein_023	16
Library001_barcode11_hap3_rep2_tig00000002	SRK_protein_023	16
Library001_barcode11_hap4_rep2_tig00000002	SRK_protein_023	16
Library001_barcode12_hap1_rep1_tig00000001	SRK_protein_025	8
Library001_barcode12_hap2_rep1_tig00000001	SRK_protein_025	8
Library001_barcode12_hap3_rep1_tig00000001	SRK_protein_025	8
Library001_barcode12_hap4_rep1_tig00000001	SRK_protein_025	8
Library001_barcode13_hap1_rep4_tig00000001	SRK_protein_026	6
Library001_barcode13_hap2_rep4_tig00000001	SRK_protein_026	6
Library001_barcode13_hap3_rep4_tig00000001	SRK_protein_026	6
Library001_barcode14_hap1_rep1_tig00000001	SRK_protein_027	8
Library001_barcode14_hap1_rep2_tig00000001	SRK_protein_028	99
Library001_barcode14_hap2_rep1_tig00000001	SRK_protein_027	8
Library001_barcode14_hap2_rep2_tig00000001	SRK_protein_028	99
Library001_barcode14_hap3_rep1_tig00000001	SRK_protein_027	8
Library001_barcode14_hap3_rep2_tig00000001	SRK_protein_028	99
Library001_barcode14_hap4_rep1_tig00000001	SRK_protein_027	8
Library001_barcode14_hap4_rep2_tig00000001	SRK_protein_028	99
Library001_barcode14_hap1_rep3_tig00000002	SRK_protein_029	12
Library001_barcode14_hap2_rep3_tig00000002	SRK_protein_029	12
Library001_barcode14_hap3_rep3_tig00000002	SRK_protein_029	12
Library001_barcode14_hap4_rep3_tig00000002	SRK_protein_029	12
Library001_barcode16_hap1_rep1_tig00000002	SRK_protein_030	8
Library001_barcode16_hap2_rep1_tig00000002	SRK_protein_030	8
Library001_barcode16_hap3_rep1_tig00000002	SRK_protein_030	8
Library001_barcode16_hap4_rep1_tig00000002	SRK_protein_030	8
Library001_barcode17_hap1_rep2_tig00000002	SRK_protein_031	16
Library001_barcode17_hap2_rep2_tig00000002	SRK_protein_031	16
Library001_barcode17_hap3_rep2_tig00000002	SRK_protein_031	16
Library001_barcode17_hap4_rep2_tig00000002	SRK_protein_031	16
Library001_barcode17_hap1_rep2_tig00000003	SRK_protein_031	16
Library001_barcode17_hap1_rep3_tig00000006	SRK_protein_032	8
Library001_barcode17_hap2_rep2_tig00000003	SRK_protein_031	16
Library001_barcode17_hap2_rep3_tig00000006	SRK_protein_032	8
Library001_barcode17_hap3_rep2_tig00000003	SRK_protein_031	16
Library001_barcode17_hap3_rep3_tig00000006	SRK_protein_032	8
Library001_barcode17_hap4_rep2_tig00000003	SRK_protein_031	16
Library001_barcode17_hap4_rep3_tig00000006	SRK_protein_032	8
Library001_barcode18_hap1_rep2_tig00000002	SRK_protein_033	12
Library001_barcode18_hap2_rep2_tig00000002	SRK_protein_033	12
Library001_barcode18_hap1_rep1_tig00000001	SRK_protein_033	12
Library001_barcode18_hap1_rep1_tig00000004	SRK_protein_034	8
Library001_barcode18_hap1_rep3_tig00000002	SRK_protein_035	59
Library001_barcode18_hap1_rep4_tig00000001	SRK_protein_035	59
Library001_barcode18_hap2_rep1_tig00000001	SRK_protein_033	12
Library001_barcode18_hap2_rep1_tig00000004	SRK_protein_034	8
Library001_barcode18_hap2_rep3_tig00000002	SRK_protein_035	59
Library001_barcode18_hap2_rep4_tig00000001	SRK_protein_035	59
Library001_barcode18_hap3_rep1_tig00000001	SRK_protein_033	12
Library001_barcode18_hap3_rep1_tig00000004	SRK_protein_034	8
Library001_barcode18_hap3_rep3_tig00000002	SRK_protein_035	59
Library001_barcode18_hap3_rep4_tig00000001	SRK_protein_035	59
Library001_barcode18_hap4_rep1_tig00000001	SRK_protein_033	12
Library001_barcode18_hap4_rep1_tig00000004	SRK_protein_034	8
Library001_barcode18_hap4_rep3_tig00000002	SRK_protein_035	59
Library001_barcode18_hap4_rep4_tig00000001	SRK_protein_035	59
Library001_barcode19_hap1_rep1_tig00000001	SRK_protein_036	16
Library001_barcode19_hap2_rep1_tig00000001	SRK_protein_036	16
Library001_barcode19_hap3_rep1_tig00000001	SRK_protein_036	16
Library001_barcode19_hap4_rep1_tig00000001	SRK_protein_036	16
Library001_barcode19_hap1_rep2_tig00000002	SRK_protein_036	16
Library001_barcode19_hap2_rep2_tig00000002	SRK_protein_036	16
Library001_barcode19_hap3_rep2_tig00000002	SRK_protein_036	16
Library001_barcode19_hap4_rep2_tig00000002	SRK_protein_036	16
Library001_barcode20_hap2_rep1_tig00000002	SRK_protein_037	34
Library001_barcode20_hap4_rep1_tig00000002	SRK_protein_037	34
Library001_barcode20_hap1_rep2_tig00000001	SRK_protein_038	8
Library001_barcode20_hap2_rep2_tig00000001	SRK_protein_038	8
Library001_barcode20_hap3_rep2_tig00000001	SRK_protein_038	8
Library001_barcode20_hap4_rep2_tig00000001	SRK_protein_038	8
Library001_barcode21_hap1_rep2_tig00000002	SRK_protein_039	8
Library001_barcode21_hap2_rep2_tig00000002	SRK_protein_039	8
Library001_barcode21_hap3_rep2_tig00000002	SRK_protein_039	8
Library001_barcode21_hap4_rep2_tig00000002	SRK_protein_039	8
Library001_barcode21_hap2_rep1_tig00000001	SRK_protein_028	99
Library002_barcode23_hap1_rep1_tig00000001	SRK_protein_024	12
Library002_barcode23_hap1_rep2_tig00000002	SRK_protein_008	25
Library002_barcode23_hap1_rep3_tig00000002	SRK_protein_008	25
Library002_barcode23_hap2_rep1_tig00000001	SRK_protein_024	12
Library002_barcode23_hap2_rep2_tig00000002	SRK_protein_008	25
Library002_barcode23_hap2_rep3_tig00000002	SRK_protein_008	25
Library002_barcode23_hap3_rep1_tig00000001	SRK_protein_024	12
Library002_barcode23_hap3_rep2_tig00000002	SRK_protein_008	25
Library002_barcode23_hap3_rep3_tig00000002	SRK_protein_008	25
Library002_barcode23_hap4_rep1_tig00000001	SRK_protein_024	12
Library002_barcode23_hap4_rep2_tig00000002	SRK_protein_008	25
Library002_barcode23_hap1_rep3_tig00000001	SRK_protein_040	6
Library002_barcode23_hap1_rep4_tig00000001	SRK_protein_008	25
Library002_barcode23_hap1_rep4_tig00000002	SRK_protein_024	12
Library002_barcode23_hap2_rep3_tig00000001	SRK_protein_040	6
Library002_barcode23_hap2_rep4_tig00000001	SRK_protein_008	25
Library002_barcode23_hap2_rep4_tig00000002	SRK_protein_024	12
Library002_barcode23_hap3_rep3_tig00000001	SRK_protein_040	6
Library002_barcode23_hap3_rep4_tig00000001	SRK_protein_008	25
Library002_barcode23_hap4_rep4_tig00000001	SRK_protein_008	25
Library002_barcode24_hap1_rep2_tig00000002	SRK_protein_041	8
Library002_barcode24_hap2_rep2_tig00000002	SRK_protein_041	8
Library002_barcode24_hap3_rep2_tig00000002	SRK_protein_041	8
Library002_barcode24_hap4_rep2_tig00000002	SRK_protein_041	8
Library002_barcode24_hap1_rep4_tig00000001	SRK_protein_041	8
Library002_barcode24_hap2_rep4_tig00000001	SRK_protein_041	8
Library002_barcode24_hap3_rep4_tig00000001	SRK_protein_041	8
Library002_barcode24_hap4_rep4_tig00000001	SRK_protein_041	8
Library002_barcode26_hap1_rep2_tig00000001	SRK_protein_042	7
Library002_barcode26_hap2_rep3_tig00000001	SRK_protein_042	7
Library002_barcode26_hap3_rep3_tig00000001	SRK_protein_042	7
Library002_barcode26_hap4_rep3_tig00000001	SRK_protein_042	7
Library002_barcode28_hap1_rep2_tig00000002	SRK_protein_043	8
Library002_barcode28_hap2_rep2_tig00000002	SRK_protein_043	8
Library002_barcode28_hap3_rep2_tig00000002	SRK_protein_043	8
Library002_barcode28_hap4_rep2_tig00000002	SRK_protein_043	8
Library002_barcode28_hap1_rep1_tig00000002	SRK_protein_044	8
Library002_barcode28_hap2_rep1_tig00000002	SRK_protein_044	8
Library002_barcode28_hap3_rep1_tig00000002	SRK_protein_044	8
Library002_barcode28_hap4_rep1_tig00000002	SRK_protein_044	8
Library002_barcode29_hap2_rep4_tig00000001	SRK_protein_045	6
Library002_barcode29_hap3_rep4_tig00000001	SRK_protein_045	6
Library002_barcode29_hap1_rep2_tig00000001	SRK_protein_046	8
Library002_barcode29_hap2_rep2_tig00000001	SRK_protein_046	8
Library002_barcode29_hap3_rep2_tig00000001	SRK_protein_046	8
Library002_barcode29_hap4_rep2_tig00000001	SRK_protein_046	8
Library002_barcode31_hap1_rep4_tig00000003	SRK_protein_047	24
Library002_barcode31_hap2_rep4_tig00000003	SRK_protein_047	24
Library002_barcode31_hap3_rep4_tig00000003	SRK_protein_047	24
Library002_barcode31_hap4_rep4_tig00000003	SRK_protein_047	24
Library002_barcode31_hap1_rep1_tig00000001	SRK_protein_047	24
Library002_barcode31_hap1_rep2_tig00000002	SRK_protein_047	24
Library002_barcode31_hap2_rep1_tig00000001	SRK_protein_047	24
Library002_barcode31_hap2_rep1_tig00000003	SRK_protein_048	11
Library002_barcode31_hap2_rep2_tig00000002	SRK_protein_047	24
Library002_barcode31_hap3_rep1_tig00000001	SRK_protein_047	24
Library002_barcode31_hap3_rep1_tig00000003	SRK_protein_048	11
Library002_barcode31_hap3_rep2_tig00000002	SRK_protein_047	24
Library002_barcode31_hap4_rep1_tig00000001	SRK_protein_047	24
Library002_barcode31_hap4_rep1_tig00000003	SRK_protein_048	11
Library002_barcode31_hap4_rep2_tig00000002	SRK_protein_047	24
Library002_barcode32_hap2_rep1_tig00000002	SRK_protein_049	6
Library002_barcode32_hap2_rep2_tig00000002	SRK_protein_050	115
Library002_barcode32_hap3_rep1_tig00000002	SRK_protein_049	6
Library002_barcode32_hap3_rep2_tig00000002	SRK_protein_050	115
Library002_barcode32_hap4_rep1_tig00000002	SRK_protein_049	6
Library002_barcode32_hap1_rep1_tig00000001	SRK_protein_051	8
Library002_barcode32_hap1_rep2_tig00000003	SRK_protein_052	8
Library002_barcode32_hap2_rep1_tig00000001	SRK_protein_051	8
Library002_barcode32_hap2_rep2_tig00000003	SRK_protein_052	8
Library002_barcode32_hap3_rep1_tig00000001	SRK_protein_051	8
Library002_barcode32_hap3_rep2_tig00000003	SRK_protein_052	8
Library002_barcode32_hap4_rep1_tig00000001	SRK_protein_051	8
Library002_barcode32_hap4_rep2_tig00000003	SRK_protein_052	8
Library002_barcode34_hap1_rep4_tig00000002	SRK_protein_010	5
Library002_barcode34_hap1_rep1_tig00000001	SRK_protein_053	8
Library002_barcode34_hap1_rep4_tig00000001	SRK_protein_054	8
Library002_barcode34_hap2_rep1_tig00000001	SRK_protein_053	8
Library002_barcode34_hap2_rep4_tig00000001	SRK_protein_054	8
Library002_barcode34_hap3_rep1_tig00000001	SRK_protein_053	8
Library002_barcode34_hap3_rep4_tig00000001	SRK_protein_054	8
Library002_barcode34_hap4_rep1_tig00000001	SRK_protein_053	8
Library002_barcode34_hap4_rep4_tig00000001	SRK_protein_054	8
Library002_barcode35_hap1_rep1_tig00000003	SRK_protein_055	16
Library002_barcode35_hap2_rep1_tig00000003	SRK_protein_055	16
Library002_barcode35_hap3_rep1_tig00000003	SRK_protein_055	16
Library002_barcode35_hap4_rep1_tig00000003	SRK_protein_055	16
Library002_barcode35_hap1_rep3_tig00000003	SRK_protein_056	71
Library002_barcode35_hap1_rep4_tig00000001	SRK_protein_055	16
Library002_barcode35_hap2_rep4_tig00000001	SRK_protein_055	16
Library002_barcode35_hap3_rep4_tig00000001	SRK_protein_055	16
Library002_barcode35_hap4_rep3_tig00000003	SRK_protein_057	5
Library002_barcode35_hap4_rep4_tig00000001	SRK_protein_055	16
Library002_barcode36_hap3_rep1_tig00000001	SRK_protein_058	8
Library002_barcode36_hap4_rep1_tig00000001	SRK_protein_058	8
Library002_barcode36_hap3_rep4_tig00000001	SRK_protein_058	8
Library002_barcode36_hap4_rep4_tig00000001	SRK_protein_058	8
Library002_barcode37_hap1_rep2_tig00000001	SRK_protein_059	16
Library002_barcode37_hap1_rep2_tig00000002	SRK_protein_059	16
Library002_barcode37_hap2_rep2_tig00000001	SRK_protein_059	16
Library002_barcode37_hap2_rep2_tig00000002	SRK_protein_059	16
Library002_barcode37_hap3_rep2_tig00000001	SRK_protein_059	16
Library002_barcode37_hap3_rep2_tig00000002	SRK_protein_059	16
Library002_barcode37_hap4_rep2_tig00000001	SRK_protein_059	16
Library002_barcode37_hap4_rep2_tig00000002	SRK_protein_059	16
Library002_barcode38_hap1_rep1_tig00000003	SRK_protein_060	8
Library002_barcode38_hap1_rep2_tig00000003	SRK_protein_061	8
Library002_barcode38_hap1_rep3_tig00000002	SRK_protein_062	6
Library002_barcode38_hap2_rep1_tig00000003	SRK_protein_060	8
Library002_barcode38_hap2_rep2_tig00000003	SRK_protein_061	8
Library002_barcode38_hap3_rep1_tig00000003	SRK_protein_060	8
Library002_barcode38_hap3_rep2_tig00000003	SRK_protein_061	8
Library002_barcode38_hap3_rep3_tig00000002	SRK_protein_062	6
Library002_barcode38_hap4_rep1_tig00000003	SRK_protein_060	8
Library002_barcode38_hap4_rep2_tig00000003	SRK_protein_061	8
Library002_barcode38_hap4_rep3_tig00000002	SRK_protein_062	6
Library002_barcode38_hap1_rep3_tig00000001	SRK_protein_063	8
Library002_barcode39_hap1_rep1_tig00000002	SRK_protein_016	62
Library002_barcode39_hap1_rep4_tig00000001	SRK_protein_016	62
Library002_barcode39_hap1_rep4_tig00000002	SRK_protein_016	62
Library002_barcode39_hap2_rep1_tig00000002	SRK_protein_016	62
Library002_barcode39_hap2_rep4_tig00000001	SRK_protein_016	62
Library002_barcode39_hap2_rep4_tig00000002	SRK_protein_016	62
Library002_barcode39_hap3_rep1_tig00000002	SRK_protein_016	62
Library002_barcode39_hap3_rep4_tig00000001	SRK_protein_016	62
Library002_barcode39_hap3_rep4_tig00000002	SRK_protein_016	62
Library002_barcode39_hap4_rep1_tig00000002	SRK_protein_016	62
Library002_barcode39_hap4_rep4_tig00000002	SRK_protein_016	62
Library002_barcode39_hap1_rep2_tig00000001	SRK_protein_016	62
Library002_barcode39_hap1_rep3_tig00000001	SRK_protein_016	62
Library002_barcode39_hap2_rep2_tig00000001	SRK_protein_016	62
Library002_barcode39_hap2_rep3_tig00000001	SRK_protein_016	62
Library002_barcode39_hap3_rep2_tig00000001	SRK_protein_016	62
Library002_barcode39_hap3_rep3_tig00000001	SRK_protein_016	62
Library002_barcode39_hap4_rep2_tig00000001	SRK_protein_016	62
Library002_barcode39_hap4_rep3_tig00000001	SRK_protein_016	62
Library002_barcode42_hap1_rep1_tig00000002	SRK_protein_072	235
Library002_barcode42_hap1_rep2_tig00000001	SRK_protein_073	16
Library002_barcode42_hap2_rep1_tig00000002	SRK_protein_072	235
Library002_barcode42_hap2_rep2_tig00000001	SRK_protein_073	16
Library002_barcode42_hap3_rep1_tig00000002	SRK_protein_072	235
Library002_barcode42_hap3_rep2_tig00000001	SRK_protein_073	16
Library002_barcode42_hap4_rep1_tig00000002	SRK_protein_072	235
Library002_barcode42_hap4_rep2_tig00000001	SRK_protein_073	16
Library002_barcode42_hap1_rep4_tig00000001	SRK_protein_073	16
Library002_barcode42_hap2_rep4_tig00000001	SRK_protein_073	16
Library002_barcode42_hap3_rep4_tig00000001	SRK_protein_073	16
Library002_barcode42_hap4_rep4_tig00000001	SRK_protein_073	16
Library002_barcode43_hap1_rep4_tig00000001	SRK_protein_074	13
Library002_barcode43_hap1_rep4_tig00000002	SRK_protein_075	7
Library002_barcode43_hap2_rep4_tig00000001	SRK_protein_074	13
Library002_barcode43_hap2_rep4_tig00000002	SRK_protein_075	7
Library002_barcode43_hap3_rep4_tig00000001	SRK_protein_074	13
Library002_barcode43_hap3_rep4_tig00000002	SRK_protein_075	7
Library002_barcode43_hap4_rep4_tig00000002	SRK_protein_075	7
Library002_barcode43_hap1_rep1_tig00000001	SRK_protein_074	13
Library002_barcode43_hap1_rep2_tig00000001	SRK_protein_075	7
Library002_barcode43_hap2_rep1_tig00000001	SRK_protein_074	13
Library002_barcode43_hap2_rep2_tig00000001	SRK_protein_075	7
Library002_barcode43_hap3_rep1_tig00000001	SRK_protein_074	13
Library002_barcode43_hap4_rep1_tig00000001	SRK_protein_074	13
Library002_barcode43_hap4_rep2_tig00000001	SRK_protein_075	7
Library002_barcode44_hap1_rep4_tig00000001	SRK_protein_076	14
Library002_barcode44_hap2_rep4_tig00000001	SRK_protein_076	14
Library002_barcode44_hap3_rep4_tig00000001	SRK_protein_076	14
Library002_barcode44_hap4_rep4_tig00000001	SRK_protein_076	14
Library002_barcode46_hap1_rep2_tig00000001	SRK_protein_077	25
Library002_barcode46_hap2_rep2_tig00000001	SRK_protein_077	25
Library002_barcode46_hap3_rep2_tig00000001	SRK_protein_077	25
Library002_barcode46_hap4_rep2_tig00000001	SRK_protein_077	25
Library002_barcode46_hap1_rep3_tig00000002	SRK_protein_077	25
Library002_barcode46_hap2_rep3_tig00000002	SRK_protein_077	25
Library002_barcode46_hap3_rep3_tig00000002	SRK_protein_077	25
Library002_barcode46_hap4_rep3_tig00000002	SRK_protein_077	25
Library002_barcode47_hap1_rep3_tig00000002	SRK_protein_078	8
Library002_barcode47_hap2_rep3_tig00000002	SRK_protein_078	8
Library002_barcode47_hap3_rep3_tig00000002	SRK_protein_078	8
Library002_barcode47_hap4_rep3_tig00000002	SRK_protein_078	8
Library002_barcode47_hap1_rep1_tig00000001	SRK_protein_079	21
Library002_barcode47_hap1_rep2_tig00000002	SRK_protein_079	21
Library002_barcode47_hap2_rep1_tig00000001	SRK_protein_079	21
Library002_barcode47_hap2_rep2_tig00000002	SRK_protein_079	21
Library002_barcode47_hap3_rep1_tig00000001	SRK_protein_079	21
Library002_barcode47_hap3_rep2_tig00000002	SRK_protein_079	21
Library002_barcode47_hap4_rep1_tig00000001	SRK_protein_079	21
Library002_barcode47_hap4_rep2_tig00000002	SRK_protein_079	21
Library002_barcode48_hap1_rep3_tig00000002	SRK_protein_080	8
Library002_barcode48_hap2_rep3_tig00000002	SRK_protein_080	8
Library002_barcode48_hap3_rep3_tig00000002	SRK_protein_080	8
Library002_barcode48_hap4_rep3_tig00000002	SRK_protein_080	8
Library002_barcode48_hap1_rep1_tig00000001	SRK_protein_081	224
Library002_barcode48_hap1_rep2_tig00000001	SRK_protein_082	8
Library002_barcode48_hap1_rep4_tig00000001	SRK_protein_083	8
Library002_barcode48_hap2_rep1_tig00000001	SRK_protein_081	224
Library002_barcode48_hap2_rep2_tig00000001	SRK_protein_082	8
Library002_barcode48_hap2_rep4_tig00000001	SRK_protein_083	8
Library002_barcode48_hap3_rep1_tig00000001	SRK_protein_081	224
Library002_barcode48_hap3_rep2_tig00000001	SRK_protein_082	8
Library002_barcode48_hap3_rep4_tig00000001	SRK_protein_083	8
Library002_barcode48_hap4_rep1_tig00000001	SRK_protein_081	224
Library002_barcode48_hap4_rep2_tig00000001	SRK_protein_082	8
Library002_barcode48_hap4_rep4_tig00000001	SRK_protein_083	8
Library002_barcode50_hap1_rep2_tig00000001	SRK_protein_084	22
Library002_barcode50_hap2_rep2_tig00000001	SRK_protein_084	22
Library002_barcode50_hap3_rep2_tig00000001	SRK_protein_084	22
Library002_barcode50_hap4_rep2_tig00000001	SRK_protein_084	22
Library002_barcode50_hap1_rep1_tig00000001	SRK_protein_084	22
Library002_barcode50_hap1_rep3_tig00000002	SRK_protein_084	22
Library002_barcode50_hap2_rep1_tig00000001	SRK_protein_084	22
Library002_barcode50_hap2_rep3_tig00000002	SRK_protein_084	22
Library002_barcode50_hap3_rep1_tig00000001	SRK_protein_084	22
Library002_barcode50_hap3_rep3_tig00000002	SRK_protein_084	22
Library002_barcode50_hap4_rep3_tig00000002	SRK_protein_084	22
Library002_barcode52_hap1_rep1_tig00000002	SRK_protein_089	6
Library002_barcode52_hap1_rep3_tig00000004	SRK_protein_090	16
Library002_barcode52_hap2_rep1_tig00000002	SRK_protein_089	6
Library002_barcode52_hap2_rep3_tig00000004	SRK_protein_090	16
Library002_barcode52_hap3_rep3_tig00000004	SRK_protein_090	16
Library002_barcode52_hap4_rep1_tig00000002	SRK_protein_089	6
Library002_barcode52_hap4_rep3_tig00000004	SRK_protein_090	16
Library002_barcode54_hap1_rep4_tig00000001	SRK_protein_045	6
Library002_barcode54_hap2_rep4_tig00000001	SRK_protein_045	6
Library002_barcode54_hap3_rep4_tig00000001	SRK_protein_045	6
Library002_barcode54_hap4_rep4_tig00000001	SRK_protein_045	6
Library002_barcode54_hap1_rep1_tig00000001	SRK_protein_046	8
Library002_barcode54_hap2_rep1_tig00000001	SRK_protein_046	8
Library002_barcode54_hap3_rep1_tig00000001	SRK_protein_046	8
Library002_barcode54_hap4_rep1_tig00000001	SRK_protein_046	8
Library002_barcode55_hap1_rep4_tig00000002	SRK_protein_095	8
Library002_barcode55_hap2_rep4_tig00000002	SRK_protein_095	8
Library002_barcode55_hap3_rep4_tig00000002	SRK_protein_095	8
Library002_barcode55_hap4_rep4_tig00000002	SRK_protein_095	8
Library002_barcode55_hap1_rep2_tig00000003	SRK_protein_096	8
Library002_barcode55_hap1_rep3_tig00000001	SRK_protein_097	6
Library002_barcode55_hap2_rep2_tig00000003	SRK_protein_096	8
Library002_barcode55_hap2_rep3_tig00000001	SRK_protein_097	6
Library002_barcode55_hap3_rep2_tig00000003	SRK_protein_096	8
Library002_barcode55_hap3_rep3_tig00000001	SRK_protein_097	6
Library002_barcode55_hap4_rep2_tig00000003	SRK_protein_096	8
Library002_barcode56_hap1_rep2_tig00000001	SRK_protein_098	8
Library002_barcode56_hap2_rep2_tig00000001	SRK_protein_098	8
Library002_barcode56_hap3_rep2_tig00000001	SRK_protein_098	8
