Protein	Allele	Cluster_id	Is_representative
SRK_protein_158	Allele_007	7	False
SRK_protein_159	Allele_016	16	False
SRK_protein_160	Allele_046	46	False
SRK_protein_161	Allele_037	37	False
SRK_protein_162	Allele_032	32	False
SRK_protein_163	Allele_032	32	False
SRK_protein_164	Allele_037	37	False
SRK_protein_165	Allele_018	18	False
SRK_protein_166	Allele_024	24	False
SRK_protein_167	Allele_033	33	False
SRK_protein_168	Allele_033	33	False
SRK_protein_169	Allele_043	43	False
SRK_protein_170	Allele_046	46	False
SRK_protein_171	Allele_046	46	False
SRK_protein_172	Allele_043	43	False
SRK_protein_173	Allele_046	46	False
SRK_protein_174	Allele_043	43	False
SRK_protein_175	Allele_043	43	False
SRK_protein_176	Allele_046	46	False
SRK_protein_177	Allele_046	46	False
SRK_protein_178	Allele_037	37	False
SRK_protein_179	Allele_039	39	False
SRK_protein_180	Allele_040	40	False
SRK_protein_181	Allele_005	5	True
SRK_protein_182	Allele_039	39	False
SRK_protein_183	Allele_005	5	False
SRK_protein_184	Allele_006	6	True
SRK_protein_185	Allele_040	40	False
SRK_protein_186	Allele_040	40	False
SRK_protein_187	Allele_040	40	False
SRK_protein_188	Allele_040	40	False
SRK_protein_189	Allele_040	40	False
SRK_protein_190	Allele_040	40	False
SRK_protein_191	Allele_040	40	True
SRK_protein_192	Allele_039	39	False
SRK_protein_193	Allele_029	29	True
SRK_protein_194	Allele_039	39	False
SRK_protein_195	Allele_044	44	False
SRK_protein_196	Allele_039	39	False
SRK_protein_197	Allele_044	44	False
SRK_protein_198	Allele_025	25	False
SRK_protein_199	Allele_035	35	True
SRK_protein_200	Allele_028	28	False
SRK_protein_201	Allele_046	46	False
SRK_protein_202	Allele_039	39	False
SRK_protein_203	Allele_043	43	False
SRK_protein_204	Allele_039	39	False
SRK_protein_205	Allele_044	44	False
SRK_protein_206	Allele_028	28	True
SRK_protein_207	Allele_044	44	False
SRK_protein_208	Allele_028	28	False
SRK_protein_209	Allele_028	28	False
SRK_protein_210	Allele_046	46	False
SRK_protein_211	Allele_040	40	False
SRK_protein_212	Allele_040	40	False
SRK_protein_213	Allele_042	42	True
SRK_protein_214	Allele_039	39	False
SRK_protein_215	Allele_036	36	True
SRK_protein_216	Allele_035	35	False
SRK_protein_217	Allele_044	44	False
SRK_protein_218	Allele_044	44	False
SRK_protein_219	Allele_046	46	False
SRK_protein_220	Allele_037	37	False
SRK_protein_221	Allele_046	46	False
SRK_protein_222	Allele_020	20	False
SRK_protein_223	Allele_020	20	False
SRK_protein_224	Allele_017	17	False
SRK_protein_225	Allele_017	17	False
SRK_protein_226	Allele_044	44	False
SRK_protein_227	Allele_018	18	False
SRK_protein_228	Allele_017	17	False
SRK_protein_229	Allele_044	44	False
SRK_protein_230	Allele_039	39	False
SRK_protein_231	Allele_046	46	False
SRK_protein_232	Allele_046	46	False
SRK_protein_233	Allele_046	46	False
SRK_protein_234	Allele_046	46	False
SRK_protein_235	Allele_040	40	False
SRK_protein_236	Allele_040	40	False
SRK_protein_237	Allele_004	4	True
SRK_protein_238	Allele_038	38	True
SRK_protein_239	Allele_046	46	False
SRK_protein_240	Allele_046	46	False
SRK_protein_241	Allele_030	30	False
SRK_protein_242	Allele_023	23	True
SRK_protein_243	Allele_023	23	False
SRK_protein_244	Allele_031	31	False
SRK_protein_245	Allele_043	43	False
SRK_protein_246	Allele_026	26	False
SRK_protein_247	Allele_043	43	False
SRK_protein_248	Allele_046	46	False
SRK_protein_249	Allele_046	46	False
SRK_protein_250	Allele_046	46	False
SRK_protein_251	Allele_048	48	True
SRK_protein_252	Allele_046	46	False
SRK_protein_253	Allele_046	46	False
SRK_protein_254	Allele_046	46	False
SRK_protein_255	Allele_046	46	False
SRK_protein_256	Allele_046	46	False
SRK_protein_257	Allele_050	50	True
SRK_protein_258	Allele_041	41	False
SRK_protein_259	Allele_043	43	False
SRK_protein_260	Allele_043	43	False
SRK_protein_261	Allele_043	43	False
SRK_protein_262	Allele_046	46	False
SRK_protein_263	Allele_043	43	False
SRK_protein_264	Allele_018	18	False
SRK_protein_265	Allele_006	6	False
SRK_protein_266	Allele_046	46	False
SRK_protein_267	Allele_007	7	False
SRK_protein_268	Allele_046	46	False
SRK_protein_269	Allele_046	46	False
SRK_protein_270	Allele_046	46	False
SRK_protein_271	Allele_046	46	False
SRK_protein_272	Allele_046	46	False
SRK_protein_273	Allele_043	43	False
SRK_protein_274	Allele_043	43	False
SRK_protein_275	Allele_016	16	False
SRK_protein_276	Allele_018	18	False
SRK_protein_277	Allele_042	42	False
SRK_protein_278	Allele_046	46	False
SRK_protein_279	Allele_033	33	False
SRK_protein_280	Allele_039	39	False
SRK_protein_281	Allele_037	37	False
SRK_protein_282	Allele_039	39	False
SRK_protein_283	Allele_038	38	False
SRK_protein_284	Allele_039	39	False
SRK_protein_285	Allele_039	39	False
SRK_protein_286	Allele_039	39	False
SRK_protein_287	Allele_024	24	False
SRK_protein_288	Allele_031	31	False
SRK_protein_289	Allele_028	28	False
SRK_protein_290	Allele_046	46	False
SRK_protein_291	Allele_016	16	False
SRK_protein_292	Allele_006	6	False
SRK_protein_293	Allele_018	18	False
SRK_protein_294	Allele_047	47	True
SRK_protein_295	Allele_046	46	False
SRK_protein_296	Allele_018	18	False
SRK_protein_297	Allele_039	39	False
SRK_protein_298	Allele_018	18	False
SRK_protein_299	Allele_022	22	True
SRK_protein_300	Allele_043	43	False
SRK_protein_301	Allele_027	27	False
SRK_protein_302	Allele_027	27	False
SRK_protein_303	Allele_043	43	False
SRK_protein_304	Allele_043	43	False
SRK_protein_305	Allele_043	43	False
SRK_protein_306	Allele_004	4	False
SRK_protein_307	Allele_046	46	False
SRK_protein_308	Allele_046	46	False
SRK_protein_309	Allele_046	46	False
SRK_protein_310	Allele_039	39	False
SRK_protein_311	Allele_039	39	False
SRK_protein_312	Allele_046	46	False
SRK_protein_313	Allele_039	39	False
SRK_protein_314	Allele_039	39	False
SRK_protein_315	Allele_051	51	True
SRK_protein_316	Allele_046	46	False
SRK_protein_317	Allele_043	43	False
SRK_protein_318	Allele_013	13	False
SRK_protein_319	Allele_046	46	False
SRK_protein_320	Allele_028	28	False
SRK_protein_321	Allele_040	40	False
SRK_protein_322	Allele_032	32	False
SRK_protein_323	Allele_046	46	False
SRK_protein_324	Allele_052	52	True
SRK_protein_325	Allele_046	46	False
SRK_protein_326	Allele_003	3	True
SRK_protein_327	Allele_002	2	True
SRK_protein_328	Allele_046	46	False
SRK_protein_329	Allele_043	43	False
SRK_protein_330	Allele_046	46	False
SRK_protein_331	Allele_043	43	False
SRK_protein_332	Allele_018	18	False
SRK_protein_333	Allele_028	28	False
SRK_protein_334	Allele_046	46	False
SRK_protein_335	Allele_015	15	True
SRK_protein_336	Allele_015	15	False
SRK_protein_337	Allele_046	46	False
SRK_protein_338	Allele_017	17	False
SRK_protein_339	Allele_040	40	False
SRK_protein_340	Allele_040	40	False
SRK_protein_341	Allele_043	43	False
SRK_protein_342	Allele_040	40	False
SRK_protein_343	Allele_007	7	False
SRK_protein_344	Allele_025	25	False
SRK_protein_345	Allele_032	32	False
SRK_protein_346	Allele_037	37	False
SRK_protein_347	Allele_044	44	False
SRK_protein_348	Allele_025	25	False
SRK_protein_349	Allele_043	43	False
